ano,semana_epidemiologica,fecha_inicio_semana_epidemiologica,grupo_etario,departamento_residencia,dengue confirmed,,semana_epidemiologica,Semena
2024,1,2023-12-31,"[0,10)",COMUNA 1,0,,41,2023-12-31
2024,1,2023-12-31,"[10,20)",COMUNA 1,0,,91,2024-01-07
2024,1,2023-12-31,"[20,30)",COMUNA 1,0,,110,2024-01
2024,1,2023-12-31,"[30,40)",COMUNA 1,1,,125,2024-01
2024,1,2023-12-31,"[40,50)",COMUNA 1,1,,230,2024-01
2024,1,2023-12-31,"[50,60)",COMUNA 1,0,,428,2024-02
2024,1,2023-12-31,"[60,70)",COMUNA 1,0,,730,2024-02
2024,1,2023-12-31,"[10,20)",COMUNA 10,2,,1241,2024-02
2024,1,2023-12-31,"[20,30)",COMUNA 10,0,,1604,2024-02
2024,1,2023-12-31,"[30,40)",COMUNA 10,1,,1722,2024-02
2024,1,2023-12-31,"[40,50)",COMUNA 10,0,,1900,2024-03
2024,1,2023-12-31,"[50,60)",COMUNA 10,0,,1679,2024-03
2024,1,2023-12-31,"[70,80)",COMUNA 10,1,,1935,2024-03
2024,1,2023-12-31,"[80,90)",COMUNA 10,0,,2146,2024-03
2024,1,2023-12-31,"[10,20)",COMUNA 11,0,,1725,2024-03
2024,1,2023-12-31,"[20,30)",COMUNA 11,0,,,
2024,1,2023-12-31,"[30,40)",COMUNA 11,1,,,
2024,1,2023-12-31,"[40,50)",COMUNA 11,1,,,
2024,1,2023-12-31,"[60,70)",COMUNA 11,1,,,
2024,1,2023-12-31,"[0,10)",COMUNA 12,0,,,
2024,1,2023-12-31,"[10,20)",COMUNA 12,1,,,
2024,1,2023-12-31,"[20,30)",COMUNA 12,0,,,
2024,1,2023-12-31,"[40,50)",COMUNA 12,1,,,
2024,1,2023-12-31,"[60,70)",COMUNA 12,0,,,
2024,1,2023-12-31,"[70,80)",COMUNA 12,1,,,
2024,1,2023-12-31,"[0,10)",COMUNA 13,0,,,
2024,1,2023-12-31,"[10,20)",COMUNA 13,0,,,
2024,1,2023-12-31,"[20,30)",COMUNA 13,1,,,
2024,1,2023-12-31,"[30,40)",COMUNA 13,0,,,
2024,1,2023-12-31,"[40,50)",COMUNA 13,1,,,
2024,1,2023-12-31,"[50,60)",COMUNA 13,0,,,
2024,1,2023-12-31,"[60,70)",COMUNA 13,0,,,
2024,1,2023-12-31,"[70,80)",COMUNA 13,0,,,
2024,1,2023-12-31,"[10,20)",COMUNA 14,0,,,
2024,1,2023-12-31,"[20,30)",COMUNA 14,0,,,
2024,1,2023-12-31,"[30,40)",COMUNA 14,0,,,
2024,1,2023-12-31,"[40,50)",COMUNA 14,1,,,
2024,1,2023-12-31,"[50,60)",COMUNA 14,0,,,
2024,1,2023-12-31,"[60,70)",COMUNA 14,0,,,
2024,1,2023-12-31,"[0,10)",COMUNA 15,0,,,
2024,1,2023-12-31,"[20,30)",COMUNA 15,1,,,
2024,1,2023-12-31,"[30,40)",COMUNA 15,1,,,
