location,Basel,Basel,Basel,Basel,,,,
lat,47.75,47.75,47.75,47.75,,,,
lon,7.5,7.5,7.5,7.5,,,,
asl,363.653,363.653,363.653,363.653,,,,
variable,Precipitation Total,Relative Humidity,Relative Humidity,Relative Humidity,,,,
unit,mm,%,%,%,,,,
level,sfc,2 m,2 m,2 m,,,,
resolution,daily,daily,daily,daily,,,,
aggregation,Summation,Maximum,Minimum,Mean,,,,
timestamp,Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],,,Week,Percipitation (average)
20240101T0000,0.1,86.418076,75.05355,81.90011,,,1,4.114285543
20240102T0000,12.1,86.19404,72.56643,80.9585,,,2,0.5142857571
20240103T0000,5.6999993,80.87297,63.438194,73.18326,,,3,5.971428429
20240104T0000,2.1000001,95.76462,73.98857,82.259636,,,4,1.971428557
20240105T0000,1.3000001,95.90553,88.45523,91.975685,,,5,0.6285714286
20240106T0000,2.2000003,92.325615,81.998856,88.169014,,,6,2.328571429
20240107T0000,5.299999,96.149956,87.45406,92.13376,,,7,1.5428572
20240108T0000,0,86.6239,67.978546,74.469475,,,8,2.942857007
20240109T0000,2.7000003,91.31327,72.33781,78.51351,,,9,0.7857142857
20240110T0000,0.3,93.24274,80.35215,88.54318,,,10,3.528571443
20240111T0000,0,91.10898,82.75533,87.54368,,,11,2.257143
20240112T0000,0,93.09043,80.800255,88.59266,,,12,2.371428543
20240113T0000,0,94.632065,79.38657,88.965904,,,13,4.742857243
20240114T0000,0,89.77367,69.17516,83.41271,,,14,0.9714285714
20240115T0000,0.6,89.907646,71.7467,80.842575,,,15,1.683333283
20240116T0000,0,91.089485,59.49782,80.85032,,,,
20240117T0000,19.699999,98.64041,87.334946,93.030785,,,,
20240118T0000,14.3,96.46404,86.24147,89.12469,,,,
20240119T0000,0,93.7535,67.052666,84.99937,,,,
20240120T0000,0,93.988846,64.61922,82.68461,,,,
20240121T0000,0,84.37048,63.199352,77.126465,,,,
20240122T0000,7.8,90.59746,57.921707,77.54708,,,,
20240123T0000,1.6000001,86.34694,64.47794,78.43135,,,,
20240124T0000,2.5,94.50317,64.06117,80.262985,,,,
20240125T0000,6.7,96.59683,86.78271,92.02045,,,,
20240126T0000,2.9999998,93.98639,80.67987,88.103905,,,,
20240127T0000,0,97.45441,70.65746,89.80868,,,,
20240128T0000,0,95.39984,66.73057,86.40368,,,,
20240129T0000,0,96.42631,59.753857,85.675415,,,,
20240130T0000,0,91.13338,61.92671,82.36658,,,,
20240131T0000,0,95.2828,62.898575,85.342476,,,,
20240201T0000,4.2,97.18268,85.62143,91.40448,,,,
20240202T0000,0,98.365776,71.45951,89.74799,,,,
20240203T0000,0,94.85512,72.91277,87.947105,,,,
20240204T0000,0.2,92.13086,75.058304,86.39785,,,,
20240205T0000,0,94.29615,69.578606,86.02079,,,,
20240206T0000,0,92.99296,71.186584,83.39764,,,,
20240207T0000,4.2,89.29658,64.86922,78.420715,,,,
20240208T0000,2.3,89.05434,71.337364,84.003716,,,,
20240209T0000,3.9,99.099495,78.102,89.856895,,,,
20240210T0000,1.8000002,97.79806,85.62868,93.44855,,,,
20240211T0000,3.9999998,88.959145,71.19181,82.62362,,,,
20240212T0000,0.1,91.33534,67.847206,83.0794,,,,
20240213T0000,0,94.44409,52.122,80.13659,,,,
20240214T0000,0,97.69621,70.87684,81.677956,,,,
20240215T0000,0.2,98.00484,64.04803,85.94898,,,,
20240216T0000,0.6,93.451775,71.33107,84.39985,,,,
20240217T0000,1,96.226654,83.57125,91.78494,,,,
20240218T0000,5.6000004,97.60046,74.17403,88.44984,,,,
20240219T0000,2.3,96.57138,68.294525,86.52973,,,,
20240220T0000,1.1,91.04435,55.270687,78.67973,,,,
20240221T0000,0.70000005,93.31,58.64046,74.89788,,,,
20240222T0000,15.099999,86.00217,68.30597,80.233475,,,,
20240223T0000,0.5,87.96619,54.778446,73.41552,,,,
20240224T0000,0.6,91.22313,61.668694,79.90443,,,,
20240225T0000,0.4,91.11314,43.848736,72.26393,,,,
20240226T0000,3.1,93.62525,62.570576,83.5272,,,,
20240227T0000,0.2,93.03219,65.39987,79.41831,,,,
20240228T0000,0,85.48555,65.97991,79.39358,,,,
20240229T0000,0,95.27677,62.161114,81.539635,,,,
20240301T0000,1.2,94.94525,70.97998,86.46761,,,,
20240302T0000,0.1,95.84937,55.89013,79.81835,,,,
